neighborhood,lat,lon,population,conversation,participating,protagonist,facilitating
Swahili-Speaking Population,35.1553079,-106.7726466,1400,200,46,52,11
Persian-Speaking Population,35.1531475,-106.8558943,2000,Na,Na,4,Na
Lives of Women Devotional Gathering,35.128004,-106.798535,40,2,15,2,Na
Meaningful Conversations,35.128422,-106.841602,6000,10,1,5,Na
St. Anthony,35.107814,-106.664472,1000,200,33,43,3
Singing Arrow,35.065745,-106.509871,5600,108,21,26,2
West Mesa,35.098308,-106.700642,8000,25,9,4,Na
Hodgin-Mckinley,35.1224644,-106.5957857,6000,32,32,14,3
Prospector’s Ridge,35.146598,-106.510028,1000,50,12,4,Na
Morada,35.09963,-106.625359,200,20,10,5,Na
Hidden Valley,35.058941,-106.500801,127,5,16,4,Na
Winrock Villas,35.099428,-106.560611,700,3,9,3,Na
Commons at Martineztown,35.087304,-106.643273,200,Na,2,2,Na
South Broadway,35.069738,-106.643632,800,200,12,2,Na
Wells Park,35.10009,-106.651128,50,25,10,5,Na
Sierra,35.116329,-106.598035,100,20,8,2,Na
2nd and Paseo,35.177894,-106.622504,100,15,5,2,Na
Library BCW,35.167680,-106.628031,Na,Na,Na,Na,Na
